Nome,"Wagnild e Young Quando eu faço planos, eu levo eles até o fim",Wagnild e Young Eu costumo lidar com os problemas de uma forma ou de outra,Wagnild e Young Eu sou capaz de depender de mim mais do que qualquer outra pessoa,Wagnild e Young Manter interesse nas coisas é importante para mim,Wagnild e Young Eu posso estar por minha conta se eu precisar,Wagnild e Young Eu sinto orgulho de ter realizado coisas em minha vida,Wagnild e Young Eu costumo aceitar as coisas sem muita preocupação,Wagnild e Young Eu sou amigo de mim mesmo,Wagnild e Young Eu sinto que posso lidar com várias coisas ao mesmo tempo,Wagnild e Young Eu sou determinado,Wagnild e Young Eu raramente penso sobre o objetivo das coisas,Wagnild e Young Eu faço as coisas um dia de cada vez,Wagnild e Young Eu posso enfrentar tempos difíceis porque já experimentei dificuldades antes,Wagnild e Young Eu sou disciplinado,Wagnild e Young Eu mantenho interesse nas coisas,Wagnild e Young Eu normalmente posso achar motivo para rir,Wagnild e Young Minha crença em mim mesmo me leva a atravessar tempos difíceis,"Wagnild e Young Em uma emergência, eu sou uma pessoa em quem as pessoas podem contar",Wagnild e Young Eu posso geralmente olhar uma situação em diversas maneiras,Wagnild e Young Às vezes eu me obrigo a fazer coisas querendo ou não,Wagnild e Young Minha vida tem sentido,Wagnild e Young Eu não insisto em coisas as quais eu não posso fazer nada sobre elas,"Wagnild e Young Quando eu estou numa situação difícil, eu normalmente acho uma saída",Wagnild e Young Eu tenho energia suficiente para fazer o que eu tenho que fazer,Wagnild e Young Tudo bem se há pessoas que não gostam de mim,Wagnild e Young Total,Wagnild e Young Resultado
8ae844932d,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,1. Nada característico,155.0,Alta
f479d20295,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,5. Característico,5. Característico,6.Muito característico,135.0,Alta
91ed6bb300,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,152.0,Alta
80162d3701,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,1. Nada característico,7. Totalmente característico,5. Característico,1. Nada característico,7. Totalmente característico,1. Nada característico,6.Muito característico,6.Muito característico,6.Muito característico,135.0,Alta
294af34d13,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,1. Nada característico,6.Muito característico,4. Indiferente,1. Nada característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,132.0,Alta
583e03c053,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,7. Totalmente característico,6.Muito característico,6.Muito característico,3. Pouco característico,7. Totalmente característico,1. Nada característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,3. Pouco característico,5. Característico,7. Totalmente característico,6.Muito característico,4. Indiferente,7. Totalmente característico,3. Pouco característico,132.0,Alta
861892e400,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
cf5e1c8ddf,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,4. Indiferente,6.Muito característico,1. Nada característico,6.Muito característico,6.Muito característico,6.Muito característico,139.0,Alta
3c04586010,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,144.0,Alta
8864149f9e,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,169.0,Alta
99aa83239f,2. Muito pouco característico,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,5. Característico,7. Totalmente característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,125.0,Média
d64637c644,6.Muito característico,3. Pouco característico,3. Pouco característico,6.Muito característico,5. Característico,6.Muito característico,3. Pouco característico,6.Muito característico,3. Pouco característico,6.Muito característico,5. Característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,3. Pouco característico,119.0,Média
a7700b5da4,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,5. Característico,5. Característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,6.Muito característico,149.0,Alta
7a6f01ee16,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,171.0,Alta
1be65b043f,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,165.0,Alta
ebf8c30802,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,168.0,Alta
252499064f,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,5. Característico,4. Indiferente,5. Característico,2. Muito pouco característico,6.Muito característico,5. Característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,130.0,Alta
c9ccce4371,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,166.0,Alta
22fd9d80bc,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,157.0,Alta
7df1aa55ee,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,7. Totalmente característico,3. Pouco característico,5. Característico,6.Muito característico,6.Muito característico,142.0,Alta
b266f410d3,5. Característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,5. Característico,3. Pouco característico,6.Muito característico,3. Pouco característico,6.Muito característico,2. Muito pouco característico,4. Indiferente,5. Característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,2. Muito pouco característico,4. Indiferente,6.Muito característico,6.Muito característico,123.0,Média
28ca1aa6cf,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,5. Característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,133.0,Alta
0c6e583c82,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,172.0,Alta
72021d9fbd,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,172.0,Alta
3459daeb2b,3. Pouco característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,5. Característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,135.0,Alta
b771d00c87,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,169.0,Alta
0f7d61ee70,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,164.0,Alta
06aa76d2d0,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,175.0,Alta
cb48ffcb1e,3. Pouco característico,3. Pouco característico,3. Pouco característico,6.Muito característico,3. Pouco característico,6.Muito característico,3. Pouco característico,5. Característico,3. Pouco característico,6.Muito característico,6.Muito característico,3. Pouco característico,5. Característico,5. Característico,6.Muito característico,4. Indiferente,6.Muito característico,5. Característico,2. Muito pouco característico,5. Característico,6.Muito característico,2. Muito pouco característico,3. Pouco característico,6.Muito característico,6.Muito característico,111.0,Média
39a06718f3,1. Nada característico,1. Nada característico,5. Característico,5. Característico,6.Muito característico,5. Característico,5. Característico,4. Indiferente,4. Indiferente,4. Indiferente,6.Muito característico,5. Característico,1. Nada característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,70.0,Baixa
1cbc78adb6,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,48.0,Baixa
fa8a0c731e,5. Característico,6.Muito característico,5. Característico,5. Característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,3. Pouco característico,5. Característico,5. Característico,5. Característico,7. Totalmente característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,1. Nada característico,6.Muito característico,7. Totalmente característico,4. Indiferente,136.0,Alta
d650938958,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,4. Indiferente,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,138.0,Alta
dc1d024af3,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,1. Nada característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,1. Nada característico,2. Muito pouco característico,123.0,Média
3546bb94a5,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,4. Indiferente,6.Muito característico,1. Nada característico,6.Muito característico,1. Nada característico,6.Muito característico,6.Muito característico,1. Nada característico,6.Muito característico,6.Muito característico,1. Nada característico,1. Nada característico,1. Nada característico,6.Muito característico,4. Indiferente,1. Nada característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,105.0,Alta
c448bab55f,6.Muito característico,4. Indiferente,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,5. Característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,154.0,Alta
2fdf182606,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,1. Nada característico,7. Totalmente característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,5. Característico,151.0,Alta
a65e32af65,1. Nada característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,5. Característico,1. Nada característico,5. Característico,1. Nada característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,1. Nada característico,5. Característico,1. Nada característico,5. Característico,5. Característico,1. Nada característico,5. Característico,1. Nada característico,6.Muito característico,99.0,Média
a4ef9103c7,2. Muito pouco característico,2. Muito pouco característico,6.Muito característico,5. Característico,1. Nada característico,6.Muito característico,5. Característico,6.Muito característico,2. Muito pouco característico,3. Pouco característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,3. Pouco característico,4. Indiferente,5. Característico,2. Muito pouco característico,2. Muito pouco característico,4. Indiferente,6.Muito característico,4. Indiferente,5. Característico,6.Muito característico,107.0,Média
31ebe03360,7. Totalmente característico,4. Indiferente,3. Pouco característico,5. Característico,3. Pouco característico,7. Totalmente característico,5. Característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,147.0,Alta
063ac97993,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,146.0,Alta
1dda8e870a,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,3. Pouco característico,6.Muito característico,2. Muito pouco característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,127.0,Alta
4bfcc68f30,5. Característico,5. Característico,6.Muito característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,131.0,Alta
ca22220c21,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,5. Característico,5. Característico,5. Característico,139.0,Alta
0408b5c666,4. Indiferente,5. Característico,5. Característico,5. Característico,5. Característico,1. Nada característico,4. Indiferente,5. Característico,1. Nada característico,4. Indiferente,1. Nada característico,1. Nada característico,5. Característico,4. Indiferente,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,1. Nada característico,4. Indiferente,6.Muito característico,102.0,Média
192038486d,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,167.0,Alta
c7f246851c,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,2. Muito pouco característico,1. Nada característico,40.0,Baixa
696d0cea24,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,4. Indiferente,7. Totalmente característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,4. Indiferente,142.0,Alta
10abcbab4b,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,3. Pouco característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,2. Muito pouco característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,151.0,Alta
0b7933a3e7,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,2. Muito pouco característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,154.0,Alta
33c5179327,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,7. Totalmente característico,3. Pouco característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,151.0,Alta
c70182e049,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,5. Característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,4. Indiferente,153.0,Alta
d548461691,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,5. Característico,6.Muito característico,6.Muito característico,6.Muito característico,140.0,Alta
6802ba8dc2,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,5. Característico,7. Totalmente característico,7. Totalmente característico,167.0,Alta
797a2d7921,6.Muito característico,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,1. Nada característico,4. Indiferente,6.Muito característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,7. Totalmente característico,6.Muito característico,7. Totalmente característico,4. Indiferente,7. Totalmente característico,6.Muito característico,7. Totalmente característico,158.0,Alta
da023ce622,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,4. Indiferente,6.Muito característico,6.Muito característico,6.Muito característico,3. Pouco característico,6.Muito característico,6.Muito característico,3. Pouco característico,4. Indiferente,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,7. Totalmente característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,139.0,Alta
071ea42ff3,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,2. Muito pouco característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,6.Muito característico,5. Característico,3. Pouco característico,6.Muito característico,138.0,Alta
